Active Region,Active Postal,Tags,Latino,Race,Country
NY,11364,,0,"Asian, White",United States
NY,11366,,0,Asian,United States
NY,11434,,0,Black/African American,United States
NY,14512,,0,White,United States
NY,19013,,0,White,United States
PA,19464,,0,White,United States
MA,01075-1364,,0,White,United States
MA,01230-0504,Legacy,0,White,United States
MA,01240-2026,,0,White,United States
MA,01260-0364,,0,White,United States
MA,01267-2972,,0,White,United States
MA,01354-9638,,0,White,United States
MA,01360-9709,,0,White,United States
MA,01507-1578,,0,White,United States
MA,01520-1919,,,White,United States
MA,01527-1306,,0,White,United States
MA,01532-1236,,0,White,United States
MA,01545-2710,,0,White,United States
MA,01606-2522,,0,White,United States
MA,01719-1532,,0,White,United States
MA,01720-2449,,0,White,United States
MA,01720-2849,,0,White,United States
MA,01742-2644,Legacy,0,White,United States
MA,01742-2919,,0,White,United States
MA,01742-2961,,0,White,United States
MA,01742-3919,,0,White,United States
MA,01742-5232,,0,White,United States
MA,01742-5407,,0,White,United States
MA,01748-1587,,0,White,United States
MA,01748-3108,,0,White,United States
MA,01760-4827,,0,White,United States
MA,01772-1315,,0,White,United States
MA,01772-1759,,0,White,United States
MA,01772-1949,,0,White,United States
MA,01776-1004,,0,White,United States
MA,01776-1069,,,Not Specified,United States
MA,01776-1114,,0,White,United States
MA,01776-1706,,0,White,United States
MA,01776-1842,,0,White,United States
MA,01776-2769,,,Not Specified,United States
MA,01803-3945,,0,White,United States
MA,01810-4632,,0,White,United States
MA,01810-5502,,0,White,United States
MA,01845-2146,,0,White,United States
MA,01860-1001,,0,White,United States
MA,01860-1210,,0,White,United States
MA,01860-2232,,0,White,United States
MA,01860-2412,,0,White,United States
MA,01864-2402,Legacy,0,White,United States
MA,01867-1416,,0,White,United States
MA,01867-3057,,0,White,United States
MA,01880-3533,,0,White,United States
MA,01890-3237,Legacy,,Not Specified,United States
MA,01890-3546,,0,White,United States
MA,01890-3657,,0,White,United States
MA,01890-3941,Legacy,0,White,United States
MA,01907-2223,,0,White,United States
MA,01921-2206,Legacy,0,White,United States
MA,01944-1631,,0,White,United States
MA,01945-1517,,0,White,United States
MA,01945-2036,,0,White,United States
MA,01945-3722,Legacy,0,White,United States
MA,01969-1515,,0,White,United States
MA,01982-1202,,0,White,United States
MA,01983-1003,,0,White,United States
MA,01985-1439,,0,White,United States
MA,01985-1518,,0,White,United States
MA,02025-1406,,0,White,United States
MA,02026-4105,,0,White,United States
MA,02026-6323,,1,White,United States
MA,02038-1042,,0,White,United States
MA,02043-1935,,0,White,United States
MA,02050-4920,,0,White,United States
MA,02053-6123,,0,White,United States
MA,02061-1011,,0,White,United States
MA,02061-1460,,0,White,United States
MA,02066-1130,,0,White,United States
MA,02066-3612,,0,White,United States
MA,02081-2344,Legacy,0,White,United States
MA,02090-1528,Legacy,0,White,United States
MA,02093-1733,,,Not Specified,United States
MA,02116-4757,Legacy,0,White,United States
MA,02125-2914,,1,Black/African American,United States
MA,02127-3107,Legacy,0,White,United States
MA,02131-4609,,0,White,United States
MA,02138-3337,,0,White,United States
MA,02152-1710,,0,White,United States
MA,02171-1031,Legacy,0,White,United States
MA,02176-3401,,0,White,United States
MA,02339-1196,,0,White,United States
MA,02360-8214,,0,White,United States
MA,02420-2119,,0,White,United States
MA,02458-1014,,0,White,United States
MA,02466-1012,Legacy,0,White,United States
MA,02466-2503,,0,White,United States
MA,02467-1816,,,Not Specified,United States
MA,02467-2670,,0,White,United States
MA,02468-1741,,0,White,United States
MA,02468-2322,,0,White,United States
MA,02474-1204,,0,White,United States
MA,02474-1920,,0,White,United States
MA,02478-4423,,0,White,United States
MA,02481-2438,,,White,United States
MA,02481-4900,,0,White,United States
MA,02482-7404,Legacy,0,White,United States
MA,02482-7413,,0,White,United States
MA,02492-1307,,0,"Asian, White",United States
MA,02493-1955,,0,White,United States
MA,02738-1809,,,Not Specified,United States
MA,02760-3410,,0,White,United States
MA,02780-1629,,0,White,United States
MA,02790-4931,,0,White,United States
RI,02837-1825,,0,White,United States
RI,02864-3486,,0,White,United States
RI,02865-4536,,0,White,United States
RI,02882-3342,,0,White,United States
RI,02886-9573,,0,White,United States
RI,02906-1348,,0,"American Indian/Alaska Native, White",United States
NH,03031-2410,,0,White,United States
NH,03055-4415,,0,White,United States
NH,03077-1254,,0,White,United States
NH,03102-4802,,0,White,United States
NH,03104-4167,,0,White,United States
NH,03229-2111,Legacy,0,White,United States
NH,03253-4221,,1,White,United States
NH,03257-5758,,0,White,United States
NH,03304-4919,,0,Asian,United States
NH,03444-8205,,0,White,United States
NH,03768-3708,,0,White,United States
NH,03833-2409,,0,White,United States
NH,03853-0433,Legacy,0,White,United States
NH,03861-6302,,0,White,United States
NH,03862-2121,,0,White,United States
ME,03902-7411,,0,Not Specified,United States
